type	time	latitude	longitude	altitude (m)	speed (km/h)	course	sat	hdop	name
T	2018-01-14 15:38:43	12.041230000	-86.203005000	244.0	23.9	199.5	9	1.2	NewNMEAFile
T	2018-01-14 15:38:44	12.041175000	-86.203025000	244.5	22.8	200.3	9	1.2	
T	2018-01-14 15:38:45	12.041123333	-86.203045000	244.8	22.0	200.6	9	1.2	
T	2018-01-14 15:38:46	12.041071667	-86.203065000	244.8	21.4	200.9	9	1.2	
T	2018-01-14 15:38:47	12.041021667	-86.203085000	245.1	22.9	202.5	9	1.2	
T	2018-01-14 15:38:48	12.040965000	-86.203110000	245.2	26.2	203.9	9	1.2	
T	2018-01-14 15:38:49	12.040901667	-86.203141667	245.3	29.3	206.1	9	1.2	
T	2018-01-14 15:38:50	12.040833333	-86.203176667	245.3	31.4	207.2	9	1.2	
T	2018-01-14 15:38:51	12.040761667	-86.203215000	245.4	32.4	207.7	9	1.2	
T	2018-01-14 15:38:52	12.040690000	-86.203255000	245.5	33.1	208.1	9	1.2	
T	2018-01-14 15:38:53	12.040616667	-86.203296667	245.6	33.1	208.1	9	1.2	
T	2018-01-14 15:38:54	12.040541667	-86.203336667	245.6	32.8	207.4	9	1.2	
T	2018-01-14 15:38:55	12.040470000	-86.203376667	245.8	32.3	207.2	9	1.2	
T	2018-01-14 15:38:56	12.040398333	-86.203415000	246.0	31.8	207.4	9	1.2	
T	2018-01-14 15:38:57	12.040328333	-86.203453333	246.3	31.4	207.6	9	1.2	
T	2018-01-14 15:38:58	12.040260000	-86.203490000	246.5	31.0	208.1	9	1.2	
T	2018-01-14 15:38:59	12.040190000	-86.203528333	246.7	31.3	207.6	9	1.2	
T	2018-01-14 15:39:00	12.040120000	-86.203566667	246.8	31.7	207.9	9	1.2	
T	2018-01-14 15:39:01	12.040048333	-86.203603333	246.7	31.7	207.4	9	1.2	
T	2018-01-14 15:39:02	12.039976667	-86.203641667	246.5	32.2	207.7	9	1.2	
T	2018-01-14 15:39:03	12.039905000	-86.203681667	246.4	32.8	207.6	9	1.2	
T	2018-01-14 15:39:04	12.039830000	-86.203721667	246.3	33.2	207.6	9	1.2	
