type	time	latitude	longitude	altitude (m)	speed (km/h)	course	sat	hdop	name
T	2018-04-30 09:22:38	-21.219966667	55.682063333	2297.2	0.1	49.3	9	0.9	180430d
T	2018-04-30 09:22:39	-21.219966667	55.682063333	2297.2	0.1	63.9	9	0.9	
T	2018-04-30 09:22:40	-21.219966667	55.682063333	2297.2	0.1	51.4	9	0.9	
T	2018-04-30 09:22:41	-21.219966667	55.682063333	2297.3	0.1	63.2	9	0.9	
T	2018-04-30 09:22:42	-21.219966667	55.682063333	2297.3	0.1	43.4	9	0.9	
T	2018-04-30 09:22:43	-21.219966667	55.682063333	2297.3	0.1	57.1	9	0.9	
T	2018-04-30 09:22:44	-21.219966667	55.682063333	2297.3	0.1	59.0	9	0.9	
T	2018-04-30 09:22:45	-21.219966667	55.682063333	2297.3	0.1	57.6	9	0.9	
T	2018-04-30 09:22:46	-21.219966667	55.682063333	2297.3	0.1	52.5	9	0.9	
T	2018-04-30 09:22:47	-21.219966667	55.682063333	2297.4	0.1	51.5	9	0.9	
T	2018-04-30 09:22:48	-21.219966667	55.682063333	2297.4	0.1	48.7	9	0.9	
T	2018-04-30 09:22:49	-21.219966667	55.682065000	2297.4	0.1	52.2	9	0.9	
T	2018-04-30 09:22:50	-21.219966667	55.682065000	2297.4	0.1	57.1	9	0.9	
T	2018-04-30 09:22:51	-21.219966667	55.682065000	2297.4	0.1	51.0	9	0.9	
T	2018-04-30 09:22:52	-21.219966667	55.682065000	2297.4	0.1	55.8	9	0.9	
T	2018-04-30 09:22:53	-21.219966667	55.682065000	2297.4	0.1	54.4	9	0.9	
T	2018-04-30 09:22:54	-21.219966667	55.682065000	2297.5	0.1	56.7	9	0.9	
T	2018-04-30 09:22:55	-21.219966667	55.682065000	2297.5	0.1	61.4	9	0.9	
T	2018-04-30 09:22:56	-21.219966667	55.682065000	2297.5	0.1	54.8	9	0.9	
T	2018-04-30 09:22:57	-21.219966667	55.682065000	2297.5	0.1	61.9	9	0.9	
T	2018-04-30 09:22:58	-21.219966667	55.682065000	2297.5	0.1	55.7	9	0.9	
T	2018-04-30 09:22:59	-21.219966667	55.682065000	2297.5	0.1	57.3	9	0.9	
T	2018-04-30 09:23:00	-21.219966667	55.682065000	2297.6	0.1	53.8	9	0.9	
T	2018-04-30 09:23:01	-21.219966667	55.682065000	2297.6	0.1	55.0	9	0.9	
T	2018-04-30 09:23:02	-21.219966667	55.682065000	2297.6	0.1	57.0	9	0.9	
T	2018-04-30 09:23:03	-21.219966667	55.682065000	2297.6	0.1	54.4	9	0.9	
T	2018-04-30 09:23:04	-21.219966667	55.682065000	2297.6	0.1	52.2	9	0.9	
T	2018-04-30 09:23:05	-21.219966667	55.682065000	2297.6	0.1	58.1	9	0.9	
T	2018-04-30 09:23:06	-21.219966667	55.682065000	2297.7	0.1	51.1	9	0.9	
T	2018-04-30 09:23:07	-21.219965000	55.682066667	2297.7	0.7	47.5	9	0.9	
T	2018-04-30 09:23:08	-21.219965000	55.682066667	2297.7	0.3	55.6	9	0.9	
T	2018-04-30 09:23:09	-21.219966667	55.682065000	2297.7	1.2	221.0	9	0.9	
T	2018-04-30 09:23:10	-21.219971667	55.682061667	2297.7	4.0	216.1	9	0.9	
T	2018-04-30 09:23:11	-21.219985000	55.682051667	2297.8	8.6	212.2	9	0.9	
T	2018-04-30 09:23:12	-21.220006667	55.682036667	2297.8	10.8	215.1	9	0.9	
T	2018-04-30 09:23:13	-21.220026667	55.682020000	2297.8	9.1	219.2	9	0.9	
T	2018-04-30 09:23:14	-21.220043333	55.682003333	2297.8	8.5	224.7	9	0.9	
T	2018-04-30 09:23:15	-21.220058333	55.681986667	2297.8	8.9	228.3	9	0.9	
T	2018-04-30 09:23:16	-21.220073333	55.681966667	2297.8	9.8	233.2	9	0.9	
T	2018-04-30 09:23:17	-21.220088333	55.681943333	2297.8	10.7	237.6	9	0.9	
T	2018-04-30 09:23:18	-21.220103333	55.681918333	2297.9	11.4	238.3	9	0.9	
T	2018-04-30 09:23:19	-21.220118333	55.681891667	2297.9	11.8	236.8	9	0.9	
T	2018-04-30 09:23:20	-21.220136667	55.681865000	2297.9	12.3	234.4	9	0.9	
T	2018-04-30 09:23:21	-21.220155000	55.681838333	2298.0	12.5	232.1	9	0.9	
T	2018-04-30 09:23:22	-21.220175000	55.681810000	2298.0	12.7	230.7	9	0.9	
T	2018-04-30 09:23:23	-21.220196667	55.681783333	2298.1	12.8	230.0	9	0.9	
T	2018-04-30 09:23:24	-21.220216667	55.681756667	2298.2	12.8	230.1	9	0.9	
T	2018-04-30 09:23:25	-21.220238333	55.681730000	2298.3	12.6	230.1	9	0.9	
T	2018-04-30 09:23:26	-21.220258333	55.681705000	2298.4	12.0	230.0	9	0.9	
T	2018-04-30 09:23:27	-21.220276667	55.681681667	2298.6	11.0	230.6	9	0.9	
T	2018-04-30 09:23:28	-21.220293333	55.681658333	2298.7	9.9	234.3	9	0.9	
T	2018-04-30 09:23:29	-21.220306667	55.681636667	2298.8	9.0	237.2	9	0.9	
T	2018-04-30 09:23:30	-21.220318333	55.681618333	2299.0	8.1	234.6	9	0.9	
T	2018-04-30 09:23:31	-21.220330000	55.681600000	2299.1	8.3	236.8	9	0.9	
T	2018-04-30 09:23:32	-21.220343333	55.681580000	2299.3	9.0	236.2	9	0.9	
T	2018-04-30 09:23:33	-21.220356667	55.681560000	2299.5	9.3	234.4	9	0.9	
T	2018-04-30 09:23:34	-21.220370000	55.681538333	2299.7	9.7	232.1	9	0.9	
T	2018-04-30 09:23:35	-21.220386667	55.681518333	2299.9	10.1	229.2	9	0.9	
T	2018-04-30 09:23:36	-21.220403333	55.681498333	2300.2	9.8	228.5	9	0.9	
T	2018-04-30 09:23:37	-21.220420000	55.681478333	2300.5	9.7	227.7	9	0.9	
T	2018-04-30 09:23:38	-21.220436667	55.681458333	2300.8	9.9	224.3	9	0.9	
T	2018-04-30 09:23:39	-21.220455000	55.681440000	2301.2	10.0	225.1	9	0.9	
T	2018-04-30 09:23:40	-21.220475000	55.681420000	2301.5	10.9	225.1	9	0.9	
T	2018-04-30 09:23:41	-21.220495000	55.681398333	2301.8	11.4	222.9	9	0.9	
T	2018-04-30 09:23:42	-21.220516667	55.681378333	2302.0	12.0	219.1	9	0.9	
T	2018-04-30 09:23:43	-21.220541667	55.681356667	2302.3	12.3	217.0	9	0.9	
T	2018-04-30 09:23:44	-21.220566667	55.681336667	2302.6	12.4	216.1	9	0.9	
T	2018-04-30 09:23:45	-21.220593333	55.681316667	2302.8	12.5	216.0	9	0.9	
T	2018-04-30 09:23:46	-21.220618333	55.681296667	2303.1	12.5	216.3	9	0.9	
T	2018-04-30 09:23:47	-21.220643333	55.681275000	2303.4	12.4	222.3	9	0.9	
T	2018-04-30 09:23:48	-21.220666667	55.681251667	2303.6	12.8	226.7	9	0.9	
T	2018-04-30 09:23:49	-21.220688333	55.681225000	2303.7	13.4	228.8	9	0.9	
T	2018-04-30 09:23:50	-21.220711667	55.681196667	2304.0	13.9	230.5	9	0.9	
T	2018-04-30 09:23:51	-21.220733333	55.681166667	2304.2	14.7	230.8	9	0.9	
T	2018-04-30 09:23:52	-21.220758333	55.681135000	2304.4	15.2	229.9	9	0.9	
T	2018-04-30 09:23:53	-21.220783333	55.681103333	2304.6	16.0	230.1	9	0.9	
T	2018-04-30 09:23:54	-21.220811667	55.681070000	2304.8	16.6	227.0	9	0.9	
T	2018-04-30 09:23:55	-21.220840000	55.681036667	2305.0	17.0	226.8	9	0.9	
T	2018-04-30 09:23:56	-21.220870000	55.681003333	2305.2	16.8	226.3	9	0.9	
T	2018-04-30 09:23:57	-21.220898333	55.680971667	2305.3	15.9	225.5	9	0.9	
T	2018-04-30 09:23:58	-21.220926667	55.680941667	2305.5	15.6	224.7	9	0.9	
T	2018-04-30 09:23:59	-21.220955000	55.680911667	2305.7	15.8	224.2	8	1.0	
T	2018-04-30 09:24:00	-21.220985000	55.680881667	2305.8	16.1	224.5	9	0.9	
T	2018-04-30 09:24:01	-21.221013333	55.680850000	2306.0	15.8	226.4	9	0.9	
T	2018-04-30 09:24:02	-21.221040000	55.680818333	2306.1	15.7	227.5	9	0.9	
T	2018-04-30 09:24:03	-21.221066667	55.680786667	2306.2	15.8	227.8	9	0.9	
T	2018-04-30 09:24:04	-21.221093333	55.680755000	2306.4	15.8	228.4	9	0.9	
T	2018-04-30 09:24:05	-21.221120000	55.680723333	2306.5	15.7	230.3	9	0.9	
T	2018-04-30 09:24:06	-21.221145000	55.680690000	2306.7	15.6	231.9	9	0.9	
T	2018-04-30 09:24:07	-21.221168333	55.680656667	2307.0	15.4	233.0	9	0.9	
T	2018-04-30 09:24:08	-21.221191667	55.680625000	2307.3	15.2	232.9	9	0.9	
T	2018-04-30 09:24:09	-21.221215000	55.680591667	2307.6	14.9	234.0	9	0.9	
T	2018-04-30 09:24:10	-21.221236667	55.680558333	2307.8	14.7	235.0	9	0.9	
T	2018-04-30 09:24:11	-21.221258333	55.680526667	2308.2	14.7	234.9	9	0.9	
T	2018-04-30 09:24:12	-21.221278333	55.680493333	2308.5	14.4	236.0	9	0.9	
T	2018-04-30 09:24:13	-21.221298333	55.680461667	2308.8	13.9	237.2	9	0.9	
T	2018-04-30 09:24:14	-21.221316667	55.680431667	2309.2	12.9	241.0	9	0.9	
T	2018-04-30 09:24:15	-21.221330000	55.680401667	2309.5	11.8	245.7	9	0.9	
T	2018-04-30 09:24:16	-21.221343333	55.680373333	2309.7	11.1	239.3	9	0.9	
T	2018-04-30 09:24:17	-21.221358333	55.680348333	2310.0	10.3	239.0	9	0.9	
T	2018-04-30 09:24:18	-21.221370000	55.680325000	2310.3	9.6	247.4	9	0.9	
T	2018-04-30 09:24:19	-21.221376667	55.680300000	2310.6	9.1	256.9	9	0.9	
T	2018-04-30 09:24:20	-21.221380000	55.680278333	2310.8	7.5	262.3	9	0.9	
T	2018-04-30 09:24:21	-21.221381667	55.680258333	2310.9	7.6	267.2	9	0.9	
T	2018-04-30 09:24:22	-21.221383333	55.680233333	2311.1	9.9	269.4	9	0.9	
T	2018-04-30 09:24:23	-21.221383333	55.680205000	2311.3	11.4	268.1	9	0.9	
T	2018-04-30 09:24:24	-21.221385000	55.680175000	2311.5	11.5	262.1	9	0.9	
T	2018-04-30 09:24:25	-21.221391667	55.680143333	2311.7	11.6	253.8	9	0.9	
T	2018-04-30 09:24:26	-21.221401667	55.680115000	2311.9	11.5	247.1	9	0.9	
T	2018-04-30 09:24:27	-21.221415000	55.680086667	2312.0	11.9	242.4	9	0.9	
T	2018-04-30 09:24:28	-21.221428333	55.680056667	2312.2	12.3	247.8	9	0.9	
T	2018-04-30 09:24:29	-21.221440000	55.680025000	2312.4	13.2	245.1	9	0.9	
T	2018-04-30 09:24:30	-21.221456667	55.679991667	2312.6	13.8	241.4	9	0.9	
T	2018-04-30 09:24:31	-21.221473333	55.679960000	2312.8	14.1	239.2	9	0.9	
T	2018-04-30 09:24:32	-21.221493333	55.679926667	2313.0	14.2	237.2	9	0.9	
T	2018-04-30 09:24:33	-21.221513333	55.679895000	2313.3	14.3	236.1	9	0.9	
T	2018-04-30 09:24:34	-21.221533333	55.679863333	2313.5	14.3	234.1	9	0.9	
T	2018-04-30 09:24:35	-21.221555000	55.679831667	2313.7	14.3	231.7	9	0.9	
T	2018-04-30 09:24:36	-21.221578333	55.679801667	2314.0	14.5	228.8	9	0.9	
T	2018-04-30 09:24:37	-21.221603333	55.679773333	2314.2	14.9	227.2	9	0.9	
T	2018-04-30 09:24:38	-21.221630000	55.679743333	2314.3	15.1	227.0	9	0.9	
T	2018-04-30 09:24:39	-21.221655000	55.679711667	2314.5	15.5	228.7	9	0.9	
