File,Number,Date,Time,so2 (ppm.m),so2 error,a,a_e,b,b_e,c,c_e,d,d_e,shift,shift_e,stretch,stretch_e,ring,ring_e,so2,so2_e,no2,no2_e,o3,o3_e,Fit window: 306.0 - 318.0 nm,ILS width: 0.5ILS Gauss Weight: 0.8
C:/Users/mqbpwbe2/Dropbox (The University of Manchester)/UV spectra/Piton de la Fournaise/2018-04-30/180430d/180430d.00000.Master.Scope,0,04-30-2018,09:23:17,4.533205357,9.90192526,-4.63E-16,1.97E-16,4.36E-13,1.85E-13,-1.37E-10,5.79E-11,1.43E-08,6.04E-09,-0.029654222,0.009783768,-0.013845849,0.015798736,3.581666787,0.310701454,1.12E+16,2.44E+16,-2.96E+17,1.52E+17,9.53E+18,4.22E+17,,
C:/Users/mqbpwbe2/Dropbox (The University of Manchester)/UV spectra/Piton de la Fournaise/2018-04-30/180430d/180430d.00001.Master.Scope,1,04-30-2018,09:23:20,10.50200821,10.07365853,-5.36E-16,1.81E-16,5.03E-13,1.70E-13,-1.57E-10,5.31E-11,1.64E-08,5.54E-09,-0.019347056,0.009929941,-0.036190986,0.015973879,3.611917315,0.313955261,2.59E+16,2.48E+16,-5.57E+17,1.54E+17,9.26E+18,4.26E+17,,
C:/Users/mqbpwbe2/Dropbox (The University of Manchester)/UV spectra/Piton de la Fournaise/2018-04-30/180430d/180430d.00002.Master.Scope,2,04-30-2018,09:23:23,-0.338871913,10.4195985,-4.11E-16,1.73E-16,3.86E-13,1.62E-13,-1.20E-10,5.07E-11,1.25E-08,5.28E-09,-0.023807469,0.010350476,-0.026826995,0.016690784,4.087355587,0.325822126,-8.35E+14,2.57E+16,-4.30E+17,1.60E+17,9.37E+18,4.44E+17,,
C:/Users/mqbpwbe2/Dropbox (The University of Manchester)/UV spectra/Piton de la Fournaise/2018-04-30/180430d/180430d.00003.Master.Scope,3,04-30-2018,09:23:26,10.45820768,9.861335149,-3.35E-16,1.80E-16,3.14E-13,1.69E-13,-9.81E-11,5.27E-11,1.02E-08,5.49E-09,-0.029298429,0.009711011,-0.01804895,0.015627943,3.499891097,0.307186594,2.58E+16,2.43E+16,-3.37E+17,1.50E+17,9.18E+18,4.20E+17,,
C:/Users/mqbpwbe2/Dropbox (The University of Manchester)/UV spectra/Piton de la Fournaise/2018-04-30/180430d/180430d.00004.Master.Scope,4,04-30-2018,09:23:30,6.424790785,9.887853754,-4.00E-16,1.96E-16,3.77E-13,1.84E-13,-1.18E-10,5.75E-11,1.23E-08,5.99E-09,-0.022618266,0.009716642,-0.026879478,0.015662471,3.465555236,0.308113266,1.58E+16,2.44E+16,-2.48E+17,1.51E+17,9.37E+18,4.20E+17,,
C:/Users/mqbpwbe2/Dropbox (The University of Manchester)/UV spectra/Piton de la Fournaise/2018-04-30/180430d/180430d.00005.Master.Scope,5,04-30-2018,09:23:33,0.528444001,9.961453482,-5.33E-16,1.80E-16,4.99E-13,1.69E-13,-1.56E-10,5.27E-11,1.62E-08,5.50E-09,-0.023604332,0.009836015,-0.025471012,0.015851977,3.792692688,0.310807432,1.30E+15,2.45E+16,-5.03E+17,1.53E+17,9.36E+18,4.23E+17,,
C:/Users/mqbpwbe2/Dropbox (The University of Manchester)/UV spectra/Piton de la Fournaise/2018-04-30/180430d/180430d.00006.Master.Scope,6,04-30-2018,09:23:36,4.111397724,10.08559469,-4.94E-16,1.83E-16,4.63E-13,1.72E-13,-1.45E-10,5.37E-11,1.51E-08,5.60E-09,-0.021425162,0.009976168,-0.029771089,0.016083638,3.837815608,0.314846578,1.01E+16,2.48E+16,-3.68E+17,1.55E+17,9.28E+18,4.28E+17,,
C:/Users/mqbpwbe2/Dropbox (The University of Manchester)/UV spectra/Piton de la Fournaise/2018-04-30/180430d/180430d.00007.Master.Scope,7,04-30-2018,09:23:39,2.979807528,10.1732584,-4.21E-16,1.92E-16,3.95E-13,1.80E-13,-1.23E-10,5.62E-11,1.29E-08,5.86E-09,-0.026464055,0.009991766,-0.021759852,0.016092958,3.484068211,0.317271801,7.34E+15,2.51E+16,-4.43E+17,1.56E+17,9.22E+18,4.32E+17,,
C:/Users/mqbpwbe2/Dropbox (The University of Manchester)/UV spectra/Piton de la Fournaise/2018-04-30/180430d/180430d.00008.Master.Scope,8,04-30-2018,09:23:42,11.28137637,9.276001423,-4.03E-16,1.86E-16,3.78E-13,1.75E-13,-1.18E-10,5.46E-11,1.23E-08,5.69E-09,-0.027009581,0.009140852,-0.019706738,0.014711602,3.512148829,0.288389735,2.78E+16,2.28E+16,-4.23E+17,1.42E+17,9.19E+18,3.93E+17,,
C:/Users/mqbpwbe2/Dropbox (The University of Manchester)/UV spectra/Piton de la Fournaise/2018-04-30/180430d/180430d.00009.Master.Scope,9,04-30-2018,09:23:45,4.390750958,10.05886502,-4.96E-16,1.98E-16,4.66E-13,1.86E-13,-1.46E-10,5.80E-11,1.52E-08,6.05E-09,-0.026606013,0.009873117,-0.018091191,0.015929298,3.325642695,0.315350177,1.08E+16,2.48E+16,-3.77E+17,1.54E+17,9.32E+18,4.29E+17,,
