Wavelength (nm),% Transmission
200,87.428395
201,87.777818
202,88.083302
203,88.344465
204,88.634732
205,88.901925
206,89.09737
207,89.336847
208,89.529248
209,89.623264
210,89.787136
211,89.901452
212,90.015612
213,90.112509
214,90.201648
215,90.2305
216,90.302287
217,90.350763
218,90.356066
219,90.40095
220,90.413868
221,90.380985
222,90.471053
223,90.485442
224,90.48172
225,90.540604
226,90.558601
227,90.524582
228,90.57682
229,90.616899
230,90.606801
231,90.71046
232,90.728593
233,90.755718
234,90.830785
235,90.917611
236,90.964132
237,91.063121
238,91.154713
239,91.174584
240,91.286859
241,91.365442
242,91.411453
243,91.493498
244,91.572484
245,91.589587
246,91.683514
247,91.778631
248,91.775769
249,91.831122
250,91.901644
251,91.879049
252,91.983943
253,91.984215
254,91.993675
255,92.016062
256,92.077478
257,92.055295
258,92.08649
259,92.128821
260,92.09136
261,92.158473
262,92.176652
263,92.159891
264,92.205478
265,92.21954
266,92.200272
267,92.258375
268,92.283662
269,92.250702
270,92.319169
271,92.322668
272,92.293229
273,92.358117
274,92.372565
275,92.327817
276,92.392167
277,92.42233
278,92.397149
279,92.480194
280,92.461628
281,92.465564
282,92.538419
283,92.555452
284,92.546595
285,92.618036
286,92.659105
287,92.598317
288,92.684379
289,92.70907
290,92.744946
291,92.740247
292,92.74825
293,92.736305
294,92.807175
295,92.843824
296,92.838507
297,92.862038
298,92.882377
299,92.831965
300,92.920569
301,92.9463
302,92.933972
303,92.956941
304,92.951695
305,92.976807
306,92.964049
307,92.993204
308,92.977378
309,93.02356
310,93.035187
311,92.957512
312,93.019274
313,93.052969
314,93.026734
315,93.079327
316,93.089403
317,93.035384
318,93.093754
319,93.022103
320,93.008549
321,93.06984
322,93.041035
323,93.013565
324,93.05904
325,93.087054
326,93.035323
327,93.105231
328,93.133145
329,93.061006
330,93.100994
331,93.11431
332,93.08675
333,93.166881
334,93.12062
335,93.095481
336,93.151016
337,93.169781
338,93.149765
339,93.19179
340,93.162726
341,93.144284
342,93.1801
343,93.176188
344,93.160055
345,93.210132
346,93.209643
347,93.179564
348,93.225425
349,93.22398
350,93.204464
351,93.248372
352,93.235872
353,93.196827
354,93.256411
355,93.266846
356,93.232567
357,93.300393
358,93.289028
359,93.222449
360,93.295478
361,93.28308
362,93.274586
363,93.310316
364,93.301007
365,93.260216
366,93.324029
367,93.314336
368,93.307949
369,93.34383
370,93.32341
371,93.302146
372,93.329191
373,93.333362
374,93.334218
375,93.357213
376,93.357629
377,93.352768
378,93.372432
379,93.411585
380,93.371034
381,93.343599
382,93.398019
383,93.39418
384,93.392551
385,93.444052
386,93.424667
387,93.356912
388,93.428044
389,93.428094
390,93.407891
391,93.445481
392,93.418782
393,93.373197
