# SO2 Absorption Cross section
# Source: Rufus et al. 2009 (JGR)
# Temp: 298K
# Wavelength (nm), Cross-section
3.259925561288449103e+02 9.987200000000000146e-21
3.259920247739777892e+02 -7.820000000000000046e-23
3.259914934208428008e+02 -7.636199999999999557e-21
3.259909726964510241e+02 -5.409000000000000033e-21
3.259904413467456834e+02 -1.135700000000000032e-21
3.259899206257150013e+02 3.086700000000000132e-21
3.259893892794393651e+02 4.730100000000000323e-21
3.259888685617697206e+02 -3.710400000000000109e-21
3.259883372189236184e+02 -1.085170000000000032e-20
3.259878058778096488e+02 -5.681599999999999982e-21
3.259872851651984433e+02 -7.524100000000000362e-21
3.259867538275140646e+02 -7.161200000000000339e-21
3.259862331182637831e+02 -1.979099999999999997e-21
3.259857017840089384e+02 -5.140400000000000336e-21
3.259851704514861126e+02 7.403700000000000265e-21
3.259846497472942701e+02 9.741500000000000018e-21
3.259841184182009215e+02 -8.101400000000000412e-21
3.259835977173698893e+02 -5.741400000000000005e-21
3.259830664979709240e+02 -6.672000000000000223e-21
3.259825351740387305e+02 -1.082789999999999956e-20
3.259820144782656257e+02 -6.817500000000000027e-21
3.259814831577627956e+02 -6.115400000000000354e-21
3.259809624653503874e+02 8.041000000000000162e-22
3.259804311482769776e+02 -4.613600000000000097e-21
3.259798998329354731e+02 -1.497020000000000030e-20
3.259793791455812197e+02 -1.099900000000000024e-20
3.259788478336690787e+02 -1.113320000000000045e-20
3.259783271496755219e+02 -1.046579999999999959e-20
3.259777958411926306e+02 -4.798199999999999743e-21
3.259772751605597136e+02 5.172000000000000079e-22
3.259767438555061290e+02 -1.113099999999999919e-21
3.259762125521843927e+02 -1.209410000000000071e-20
3.259756918766094032e+02 -9.674499999999999539e-21
3.259751605767169167e+02 -4.219300000000000344e-21
3.259746399045025100e+02 -1.126079999999999950e-20
3.259741086080391597e+02 -3.929300000000000046e-21
3.259735773133076577e+02 7.106499999999999510e-21
3.259730566461511216e+02 -1.834999999999999905e-21
3.259725253548487558e+02 1.011500000000000071e-21
3.259720046910526889e+02 5.897899999999999754e-21
3.259714734031794023e+02 -1.093190000000000013e-20
3.259709421170379642e+02 -1.136249999999999954e-20
3.259704214582995974e+02 -2.604000000000000050e-21
3.259698901755871816e+02 -7.583400000000000729e-21
3.259693695202091703e+02 -1.079320000000000000e-20
3.259688382409257770e+02 -9.297500000000000505e-21
3.259683069633741752e+02 -1.426900000000000031e-21
3.259677863130537503e+02 3.038400000000000084e-21
3.259672550389311141e+02 -7.783999999999999884e-22
3.259667343919709879e+02 -3.460099999999999690e-21
3.259662031212772604e+02 -8.616000000000000631e-21
3.259656824776775466e+02 -1.346059999999999955e-20
3.259651512104126141e+02 -1.215450000000000002e-20
3.259646199448794732e+02 -6.998199999999999803e-21
3.259640993063371184e+02 -4.165800000000000344e-21
3.259635680442327725e+02 -4.633599999999999858e-21
3.259630474090506596e+02 -6.466699999999999642e-21
