#Wavelength	Cross-Sec
300.0801	9.93E-19
300.19	1.08E-18
300.2999	9.71E-19
300.4098	8.47E-19
300.5196	7.33E-19
300.6295	6.28E-19
300.7393	5.38E-19
300.8492	4.63E-19
300.9591	4.08E-19
301.0689	3.62E-19
301.1787	3.19E-19
301.2886	2.80E-19
301.3984	2.52E-19
301.5082	2.35E-19
301.6181	2.41E-19
301.7279	2.89E-19
301.8377	3.85E-19
301.9475	5.46E-19
302.0573	7.38E-19
302.1671	8.61E-19
302.2769	8.79E-19
302.3867	8.26E-19
302.4965	7.42E-19
302.6063	6.37E-19
302.716	5.38E-19
302.8258	4.57E-19
302.9356	3.93E-19
303.0453	3.38E-19
303.1551	2.92E-19
303.2648	2.58E-19
303.3746	2.34E-19
303.4843	2.21E-19
303.594	2.20E-19
303.7038	2.30E-19
303.8135	2.50E-19
303.9232	2.90E-19
304.0329	3.86E-19
304.1426	5.55E-19
304.2523	7.52E-19
304.362	7.82E-19
304.4717	6.99E-19
304.5814	6.16E-19
304.691	5.28E-19
304.8007	4.41E-19
304.9104	3.72E-19
305.02	3.20E-19
305.1296	2.79E-19
305.2393	2.43E-19
305.3489	2.13E-19
305.4585	1.89E-19
305.5681	1.77E-19
305.6777	1.79E-19
305.7873	1.89E-19
305.8969	2.16E-19
306.0065	2.74E-19
306.1161	3.49E-19
306.2257	4.24E-19
306.3352	5.06E-19
306.4448	5.89E-19
306.5543	6.28E-19
306.6638	5.80E-19
306.7734	4.86E-19
306.8829	4.00E-19
306.9924	3.38E-19
307.1019	2.95E-19
307.2114	2.65E-19
307.3208	2.34E-19
307.4303	2.07E-19
307.5398	1.92E-19
307.6492	1.88E-19
307.7586	1.89E-19
307.8681	1.88E-19
307.9775	1.86E-19
308.0869	1.98E-19
308.1963	2.36E-19
308.3056	2.64E-19
308.415	3.09E-19
308.5244	4.03E-19
308.6337	4.95E-19
308.7431	5.04E-19
308.8524	4.48E-19
308.9617	3.82E-19
309.071	3.18E-19
309.1803	2.68E-19
309.2895	2.31E-19
309.3988	2.00E-19
309.5081	1.77E-19
309.6173	1.65E-19
309.7265	1.67E-19
309.8357	1.70E-19
309.9449	1.69E-19
310.0541	1.72E-19
310.1632	1.84E-19
310.2724	1.95E-19
310.3815	1.99E-19
310.4906	2.13E-19
310.5997	2.62E-19
310.7088	3.20E-19
310.8179	3.36E-19
310.927	2.99E-19
311.036	2.66E-19
311.145	2.50E-19
311.254	2.29E-19
311.363	2.07E-19
311.472	1.80E-19
311.5809	1.52E-19
311.6899	1.33E-19
311.7988	1.23E-19
311.9077	1.21E-19
312.0166	1.29E-19
312.1254	1.35E-19
312.2343	1.33E-19
312.3431	1.30E-19
312.4519	1.31E-19
312.518	1.37E-19
312.6326	1.47E-19
312.7472	1.53E-19
312.8619	1.69E-19
312.9764	2.01E-19
313.091	2.31E-19
313.2055	2.33E-19
313.3201	2.10E-19
313.4346	1.80E-19
313.5491	1.51E-19
313.6635	1.29E-19
313.778	1.20E-19
313.8924	1.17E-19
314.0068	1.07E-19
314.1211	9.49E-20
314.2355	8.64E-20
314.3498	8.44E-20
314.4641	9.00E-20
314.5784	1.00E-19
314.6927	1.08E-19
314.8069	1.12E-19
314.9212	1.10E-19
315.0354	1.08E-19
315.1496	1.16E-19
315.2637	1.30E-19
315.3779	1.33E-19
315.492	1.25E-19
315.6061	1.23E-19
315.7202	1.28E-19
315.8342	1.25E-19
315.9482	1.10E-19
316.0622	9.36E-20
316.1762	8.19E-20
316.2902	7.46E-20
316.4041	7.11E-20
316.5181	7.23E-20
316.632	7.87E-20
316.7458	8.42E-20
316.8597	8.49E-20
316.9735	8.44E-20
317.0873	8.62E-20
317.2011	9.04E-20
317.3149	9.00E-20
317.4286	8.37E-20
317.5424	7.72E-20
317.6561	7.45E-20
317.7697	7.48E-20
317.8834	7.64E-20
317.997	8.19E-20
318.1106	8.84E-20
318.2242	8.55E-20
318.3378	7.65E-20
318.4513	6.82E-20
318.5649	5.97E-20
318.6784	5.11E-20
318.7918	4.43E-20
318.9053	4.05E-20
319.0187	4.03E-20
319.1321	4.15E-20
319.2455	4.25E-20
319.3589	4.54E-20
319.4722	5.08E-20
319.5855	5.63E-20
319.6988	5.79E-20
319.8121	5.75E-20
319.9253	5.49E-20
320.0386	4.94E-20
320.1518	4.36E-20
320.265	3.85E-20
320.3781	3.55E-20
320.4912	3.44E-20
320.6044	3.36E-20
320.7174	3.36E-20
320.8305	3.49E-20
320.9436	3.78E-20
321.0566	4.03E-20
321.1696	3.77E-20
321.2825	3.24E-20
321.3955	2.81E-20
321.5084	2.46E-20
321.6213	2.21E-20
321.7342	2.11E-20
321.8471	2.15E-20
321.9599	2.27E-20
322.0727	2.41E-20
322.1855	2.54E-20
322.2983	2.51E-20
322.411	2.43E-20
322.5237	2.54E-20
322.6364	2.79E-20
322.7491	2.74E-20
322.8618	2.34E-20
322.9744	1.92E-20
323.087	1.58E-20
323.1996	1.34E-20
323.3121	1.21E-20
323.4247	1.14E-20
323.5372	1.10E-20
323.6497	1.10E-20
323.7621	1.12E-20
323.8746	1.24E-20
323.987	1.40E-20
324.0994	1.51E-20
324.2118	1.53E-20
324.3241	1.41E-20
324.4365	1.24E-20
324.5488	1.13E-20
324.661	1.06E-20
324.7733	1.02E-20
324.8855	1.03E-20
324.9978	1.05E-20
325.1099	1.11E-20
325.2221	1.18E-20
325.3343	1.10E-20
325.4464	9.62E-21
325.5585	8.73E-21
325.6705	8.49E-21
325.7826	8.70E-21
325.8946	8.91E-21
326.0066	8.45E-21
326.1186	7.42E-21
326.2306	6.52E-21
326.3425	5.81E-21
326.4544	5.23E-21
326.5663	4.77E-21
326.6782	4.42E-21
326.79	4.17E-21
326.9018	4.15E-21
327.0136	4.41E-21
327.1254	4.98E-21
327.2372	5.65E-21
327.3489	6.12E-21
327.4606	5.76E-21
327.5723	5.09E-21
327.684	4.54E-21
327.7956	4.05E-21
327.9072	3.76E-21
328.0188	3.71E-21
328.1304	3.87E-21
328.2419	3.91E-21
328.3534	3.79E-21
328.4649	3.59E-21
328.5764	3.37E-21
328.6879	3.23E-21
328.7993	3.13E-21
328.9107	3.10E-21
329.0221	3.22E-21
329.1335	3.57E-21
329.2448	3.92E-21
329.3561	3.87E-21
329.4674	3.45E-21
329.5787	2.93E-21
329.69	2.52E-21
329.8012	2.26E-21
329.9124	2.05E-21
330.0236	1.98E-21
330.1348	2.07E-21
330.2459	2.08E-21
330.357	2.05E-21
330.4681	2.14E-21
330.5792	2.37E-21
330.6902	2.52E-21
330.8013	2.33E-21
330.9123	2.01E-21
331.0232	1.72E-21
331.1342	1.52E-21
331.2451	1.54E-21
331.3561	1.54E-21
331.467	1.40E-21
331.5778	1.33E-21
331.6887	1.24E-21
331.7995	1.26E-21
331.9103	1.20E-21
332.0211	1.18E-21
332.1319	1.19E-21
332.2426	1.19E-21
332.3533	1.28E-21
332.464	1.37E-21
332.5747	1.33E-21
332.6853	1.38E-21
332.796	1.47E-21
332.9066	1.28E-21
333.0172	1.10E-21
333.1277	9.96E-22
333.2383	9.95E-22
333.3488	9.63E-22
333.4593	9.18E-22
333.5698	8.60E-22
333.6802	8.09E-22
333.7907	8.47E-22
333.9011	9.17E-22
334.0115	1.00E-21
334.1219	9.96E-22
334.2322	8.80E-22
334.3425	7.68E-22
334.4529	7.24E-22
334.5631	6.36E-22
334.6734	6.35E-22
334.7836	6.27E-22
334.8939	5.57E-22
335.0041	5.94E-22
335.1143	5.93E-22
335.2244	5.88E-22
335.3346	5.46E-22
335.4447	4.64E-22
335.5548	4.13E-22
335.6648	4.17E-22
335.7749	4.84E-22
335.8849	5.60E-22
335.9949	5.68E-22
336.1049	5.20E-22
336.2149	4.35E-22
336.3249	4.40E-22
336.4348	4.67E-22
336.5447	4.84E-22
336.6546	4.61E-22
336.7645	4.16E-22
336.8743	4.14E-22
336.9841	3.50E-22
337.094	3.38E-22
337.2037	3.63E-22
337.3135	3.23E-22
337.4233	3.09E-22
337.533	3.48E-22
337.6427	3.54E-22
337.7524	3.35E-22
337.862	3.01E-22
337.9717	2.68E-22
338.0813	1.84E-22
338.1909	2.08E-22
338.3005	2.24E-22
338.4101	2.37E-22
338.5196	2.18E-22
338.6292	2.40E-22
338.7387	2.33E-22
338.8482	2.07E-22
338.9576	1.89E-22
339.0671	1.66E-22
339.1765	1.75E-22
339.2859	1.67E-22
339.3953	2.34E-22
339.5047	2.34E-22
339.614	2.47E-22
339.7234	1.88E-22
339.8327	1.86E-22
339.942	1.95E-22
340.0512	1.90E-22
340.1605	1.99E-22
340.2697	1.55E-22
340.379	1.95E-22
340.4882	1.71E-22
340.5973	1.18E-22
340.7065	8.62E-23
340.8156	1.08E-22
