#Wavelength (nm)	Absorption cross-section (cm2/molecule)
259.67	2.74E-19
259.68	2.56E-19
259.69	2.77E-19
259.69	2.55E-19
259.70	2.55E-19
259.71	2.65E-19
259.72	2.75E-19
259.73	2.83E-19
259.73	2.64E-19
259.74	2.77E-19
259.75	2.61E-19
259.76	2.68E-19
259.77	2.85E-19
259.78	2.87E-19
259.78	2.91E-19
259.79	2.87E-19
259.80	2.87E-19
259.81	2.93E-19
259.82	2.91E-19
259.82	2.88E-19
259.83	2.89E-19
259.84	2.99E-19
259.85	2.82E-19
259.86	3.05E-19
259.87	3.01E-19
259.87	2.92E-19
259.88	2.96E-19
259.89	2.95E-19
259.90	2.88E-19
259.91	2.79E-19
259.92	2.88E-19
259.92	3.00E-19
259.93	2.94E-19
259.94	2.86E-19
259.95	2.82E-19
259.96	2.84E-19
259.96	2.79E-19
259.97	2.87E-19
259.98	2.80E-19
259.99	2.70E-19
260.00	2.76E-19
260.01	2.84E-19
260.01	2.71E-19
260.02	2.59E-19
260.03	2.74E-19
260.04	2.81E-19
260.05	2.73E-19
260.05	2.73E-19
260.06	2.68E-19
260.07	2.59E-19
260.08	2.59E-19
260.09	2.66E-19
260.10	2.79E-19
260.10	2.54E-19
260.11	2.79E-19
260.12	2.79E-19
260.13	2.81E-19
260.14	2.75E-19
260.15	2.72E-19
260.15	2.66E-19
260.16	2.76E-19
260.17	2.82E-19
260.18	2.66E-19
260.19	2.77E-19
260.19	2.82E-19
260.20	2.81E-19
260.21	2.83E-19
260.22	2.82E-19
260.23	2.79E-19
260.24	2.79E-19
260.24	2.94E-19
260.25	2.82E-19
260.26	2.88E-19
260.27	2.96E-19
260.28	2.98E-19
260.28	2.85E-19
260.29	2.78E-19
260.30	2.88E-19
260.31	2.64E-19
260.32	2.65E-19
260.33	2.72E-19
260.33	2.84E-19
260.34	2.89E-19
260.35	2.83E-19
260.36	2.95E-19
260.37	2.79E-19
260.37	2.88E-19
260.38	2.81E-19
260.39	2.82E-19
260.40	2.89E-19
260.41	2.61E-19
260.42	2.69E-19
260.42	2.70E-19
260.43	2.63E-19
260.44	2.81E-19
260.45	2.66E-19
260.46	2.78E-19
260.47	2.79E-19
260.47	2.82E-19
260.48	2.70E-19
260.49	2.70E-19
260.50	2.71E-19
260.51	2.65E-19
260.51	2.65E-19
260.52	2.61E-19
260.53	2.69E-19
260.54	2.60E-19
260.55	2.82E-19
260.56	2.80E-19
260.56	2.83E-19
260.57	2.92E-19
260.58	2.89E-19
260.59	2.87E-19
260.60	3.05E-19
260.60	2.96E-19
260.61	3.05E-19
260.62	3.18E-19
260.63	3.13E-19
260.64	3.09E-19
260.65	3.11E-19
260.65	3.21E-19
260.66	3.20E-19
260.67	3.31E-19
260.68	3.33E-19
260.69	3.24E-19
260.70	3.14E-19
260.70	3.27E-19
260.71	3.23E-19
260.72	3.22E-19
260.73	3.07E-19
260.74	3.00E-19
260.74	2.97E-19
260.75	3.02E-19
260.76	3.05E-19
260.77	3.05E-19
260.78	3.15E-19
260.79	3.06E-19
260.79	3.07E-19
260.80	3.04E-19
260.81	3.03E-19
260.82	3.00E-19
260.83	2.91E-19
260.83	2.92E-19
260.84	2.96E-19
260.85	2.90E-19
260.86	2.94E-19
260.87	2.93E-19
260.88	2.97E-19
260.88	2.70E-19
260.89	2.64E-19
260.90	2.74E-19
260.91	2.77E-19
260.92	2.84E-19
260.92	2.70E-19
260.93	2.80E-19
260.94	2.77E-19
260.95	2.78E-19
260.96	2.72E-19
260.97	2.79E-19
260.97	2.77E-19
260.98	2.85E-19
260.99	2.84E-19
261.00	2.82E-19
261.01	2.90E-19
261.02	2.84E-19
261.02	2.90E-19
261.03	2.88E-19
261.04	2.93E-19
261.05	3.01E-19
261.06	3.17E-19
261.06	3.02E-19
261.07	3.01E-19
261.08	2.88E-19
261.09	3.03E-19
261.10	3.05E-19
261.11	2.97E-19
261.11	3.05E-19
261.12	2.98E-19
261.13	3.02E-19
261.14	3.19E-19
261.15	3.15E-19
261.15	3.33E-19
261.16	3.24E-19
261.17	3.31E-19
261.18	3.24E-19
261.19	3.25E-19
261.20	3.36E-19
261.20	3.41E-19
261.21	3.32E-19
261.22	3.44E-19
261.23	3.51E-19
261.24	3.65E-19
261.25	3.65E-19
261.25	3.65E-19
261.26	3.56E-19
261.27	3.59E-19
261.28	3.71E-19
261.29	3.62E-19
261.29	3.62E-19
261.30	3.62E-19
261.31	3.70E-19
261.32	3.66E-19
261.33	3.68E-19
261.34	3.77E-19
261.34	3.62E-19
261.35	3.71E-19
261.36	3.71E-19
261.37	3.62E-19
261.38	3.62E-19
261.38	3.77E-19
261.39	3.75E-19
261.40	3.70E-19
261.41	3.76E-19
261.42	3.71E-19
261.43	3.54E-19
261.43	3.62E-19
261.44	3.67E-19
261.45	3.58E-19
261.46	3.49E-19
261.47	3.41E-19
261.47	3.49E-19
261.48	3.52E-19
261.49	3.54E-19
261.50	3.46E-19
261.51	3.45E-19
261.52	3.45E-19
261.52	3.49E-19
261.53	3.49E-19
261.54	3.49E-19
261.55	3.37E-19
261.56	3.52E-19
261.57	3.44E-19
261.57	3.38E-19
261.58	3.42E-19
261.59	3.38E-19
261.60	3.24E-19
261.61	3.26E-19
261.61	3.27E-19
261.62	3.19E-19
261.63	3.11E-19
261.64	3.11E-19
261.65	3.13E-19
261.66	3.08E-19
261.66	3.01E-19
261.67	3.11E-19
261.68	3.13E-19
261.69	2.97E-19
261.70	3.09E-19
261.70	3.14E-19
261.71	3.00E-19
261.72	3.03E-19
261.73	3.04E-19
261.74	2.93E-19
261.75	3.00E-19
261.75	3.04E-19
261.76	3.04E-19
261.77	3.09E-19
261.78	2.99E-19
261.79	2.99E-19
261.80	3.16E-19
261.80	3.22E-19
261.81	3.19E-19
261.82	3.20E-19
261.83	3.16E-19
261.84	3.30E-19
261.84	3.16E-19
